station,time,item,value,unit
大城站,20,乙烷,1.79,ppb
大城站,20,乙烯,2.17,ppb
大城站,20,丙烷,1.08,ppb
大城站,20,丙烯,0.91,ppb
大城站,20,異丁烷,0.33,ppb
大城站,20,正丁烷,0.67,ppb
大城站,20,乙炔,5.94,ppb
大城站,20,反2-丁烯,0.1,ppb
大城站,20,1-丁烯,0.23,ppb
大城站,20,順2-丁烯,0.05,ppb
大城站,20,環戊烷,0,ppb
大城站,20,異戊烷,0.34,ppb
大城站,20,正戊烷,0.18,ppb
大城站,20,反2-戊烯,0.05,ppb
大城站,20,1-戊烯,0.03,ppb
大城站,20,順2-戊烯,0.03,ppb
大城站,20,"2,2-二甲基丁烷",0,ppb
大城站,20,"2,3-二甲基丁烷",0.05,ppb
大城站,20,2-甲基戊烷,0.11,ppb
大城站,20,3-甲基戊烷,0.07,ppb
大城站,20,異戊二烯,0.08,ppb
大城站,20,正己烷,0,ppb
大城站,20,甲基環戊烷,0.05,ppb
大城站,20,"2,4-二甲基戊烷",0,ppb
大城站,20,苯,0.33,ppb
大城站,20,環己烷,0,ppb
大城站,20,2-甲基己烷,0,ppb
大城站,20,"2,3-二甲基戊烷",0,ppb
大城站,20,3-甲基己烷,0,ppb
大城站,20,"2,2,4-三甲基戊烷",0.01,ppb
大城站,20,正庚烷,0.04,ppb
大城站,20,甲基環己烷,0,ppb
大城站,20,"2,3,4-三甲基戊烷",0,ppb
大城站,20,甲苯,0.45,ppb
大城站,20,2-甲基庚烷,0,ppb
大城站,20,3-甲基庚烷,0,ppb
大城站,20,正辛烷,0.01,ppb
大城站,20,乙苯,0.06,ppb
大城站,20,"間,對二甲苯",0.22,ppb
大城站,20,苯乙烯,0,ppb
大城站,20,鄰二甲苯,0.07,ppb
大城站,20,正壬烷,0,ppb
大城站,20,異丙基苯,0.01,ppb
大城站,20,正丙基苯,0,ppb
大城站,20,間-乙基甲苯,0,ppb
大城站,20,對-乙基甲苯,0.09,ppb
大城站,20,"1,3,5-三甲基苯",0.06,ppb
大城站,20,鄰-乙基甲苯,0.03,ppb
大城站,20,"1,2,4-三甲基苯",0.4,ppb
大城站,20,葵烷,0,ppb
大城站,20,"1,2,3-三甲基苯",0.06,ppb
大城站,20,間-二乙基苯,0,ppb
大城站,20,對-二乙基苯,0,ppbv
大城站,20,正十一烷,0.02,ppbv
東石站,20,乙烷,1.58,ppb
東石站,20,乙烯,1.83,ppb
東石站,20,丙烷,2.43,ppb
東石站,20,丙烯,0.91,ppb
東石站,20,異丁烷,0.88,ppb
東石站,20,正丁烷,1.42,ppb
東石站,20,乙炔,1.43,ppb
東石站,20,反2-丁烯,0.13,ppb
東石站,20,1-丁烯,0.19,ppb
東石站,20,順2-丁烯,0.09,ppb
東石站,20,環戊烷,0,ppb
東石站,20,異戊烷,0.84,ppb
東石站,20,正戊烷,0.33,ppb
東石站,20,反2-戊烯,0.08,ppb
東石站,20,1-戊烯,0.04,ppb
東石站,20,順2-戊烯,0,ppb
東石站,20,"2,2-二甲基丁烷",0,ppb
東石站,20,"2,3-二甲基丁烷",0.03,ppb
東石站,20,2-甲基戊烷,0.08,ppb
東石站,20,3-甲基戊烷,0,ppb
東石站,20,異戊二烯,0.06,ppb
東石站,20,正己烷,0.19,ppb
東石站,20,甲基環戊烷,0.11,ppb
東石站,20,"2,4-二甲基戊烷",0,ppb
東石站,20,苯,0.43,ppb
東石站,20,環己烷,0.05,ppb
東石站,20,2-甲基己烷,0.08,ppb
東石站,20,"2,3-二甲基戊烷",0.03,ppb
東石站,20,3-甲基己烷,0.09,ppb
東石站,20,"2,2,4-三甲基戊烷",0.13,ppb
東石站,20,正庚烷,0.1,ppb
東石站,20,甲基環己烷,0.04,ppb
東石站,20,"2,3,4-三甲基戊烷",0.05,ppb
東石站,20,甲苯,0.74,ppb
