station,time,item,value,unit
大城站,22,乙烷,4.37,ppb
大城站,22,乙烯,0.3,ppb
大城站,22,丙烷,3.47,ppb
大城站,22,丙烯,0,ppb
大城站,22,異丁烷,0.57,ppb
大城站,22,正丁烷,0.91,ppb
大城站,22,乙炔,1.38,ppb
大城站,22,反2-丁烯,0.18,ppb
大城站,22,1-丁烯,0.34,ppb
大城站,22,順2-丁烯,0.06,ppb
大城站,22,環戊烷,0,ppb
大城站,22,異戊烷,0.54,ppb
大城站,22,正戊烷,0.34,ppb
大城站,22,反2-戊烯,0.14,ppb
大城站,22,1-戊烯,0,ppb
大城站,22,順2-戊烯,0,ppb
大城站,22,2-2-二甲基丁烷,0,ppb
大城站,22,2-3-二甲基丁烷,0,ppb
大城站,22,2-甲基戊烷,0.22,ppb
大城站,22,3-甲基戊烷,0.13,ppb
大城站,22,異戊二烯,0,ppb
大城站,22,正己烷,0,ppb
大城站,22,甲基環戊烷,0,ppb
大城站,22,2-4-二甲基戊烷,0,ppb
大城站,22,苯,0.25,ppb
大城站,22,環己烷,0,ppb
大城站,22,2-甲基己烷,0,ppb
大城站,22,2-3-二甲基戊烷,0,ppb
大城站,22,3-Methylhexane,0,ppb
大城站,22,2-2-4-三甲基戊烷,0,ppb
大城站,22,正庚烷,0,ppb
大城站,22,甲基環己烷,0,ppb
大城站,22,2-3-4-三甲基戊烷,0,ppb
大城站,22,甲苯,0.81,ppb
大城站,22,2-甲基庚烷,0,ppb
大城站,22,3-甲基庚烷,0,ppb
大城站,22,正辛烷,0,ppb
大城站,22,乙苯,0,ppb
大城站,22,間-對二甲苯,0.45,ppb
大城站,22,苯乙烯,0,ppb
大城站,22,鄰二甲苯,0,ppb
大城站,22,正壬烷,0,ppb
大城站,22,異丙基苯,0,ppb
大城站,22,正丙基苯,0,ppb
大城站,22,間-乙基甲苯,0,ppb
大城站,22,對-乙基甲苯,0,ppb
大城站,22,1-3-5-三甲基苯,0,ppb
大城站,22,鄰-乙基甲苯,0,ppb
大城站,22,1-2-4-三甲基苯,0,ppb
大城站,22,葵烷,0,ppb
大城站,22,1-2-3-三甲基苯,0,ppb
大城站,22,間-二乙基苯,0,ppb
大城站,22,對-二乙基苯,0,ppbv
大城站,22,正十一烷,0,ppbv
東石站,22,乙烷,4.09,ppb
東石站,22,乙烯,0.73,ppb
東石站,22,丙烷,5.47,ppb
東石站,22,丙烯,0.65,ppb
東石站,22,異丁烷,1.22,ppb
東石站,22,正丁烷,1.86,ppb
東石站,22,乙炔,1.37,ppb
東石站,22,反2-丁烯,0,ppb
東石站,22,1-丁烯,0.72,ppb
東石站,22,順2-丁烯,0,ppb
東石站,22,環戊烷,0,ppb
東石站,22,異戊烷,0,ppb
東石站,22,正戊烷,0.5,ppb
東石站,22,反2-戊烯,0,ppb
東石站,22,1-戊烯,0,ppb
東石站,22,順2-戊烯,0.08,ppb
東石站,22,2-2-二甲基丁烷,0,ppb
東石站,22,2-3-二甲基丁烷,0.26,ppb
東石站,22,2-甲基戊烷,0.23,ppb
東石站,22,3-甲基戊烷,0,ppb
東石站,22,異戊二烯,0.11,ppb
東石站,22,正己烷,0,ppb
東石站,22,甲基環戊烷,0,ppb
東石站,22,2-4-二甲基戊烷,0,ppb
東石站,22,苯,2.21,ppb
東石站,22,環己烷,0.04,ppb
東石站,22,2-甲基己烷,0,ppb
東石站,22,2-3-二甲基戊烷,0,ppb
東石站,22,3-Methylhexane,0.05,ppb
東石站,22,2-2-4-三甲基戊烷,0,ppb
東石站,22,正庚烷,0,ppb
東石站,22,甲基環己烷,0.02,ppb
東石站,22,2-3-4-三甲基戊烷,0,ppb
東石站,22,甲苯,2.08,ppb
東石站,22,2-甲基庚烷,0,ppb
東石站,22,3-甲基庚烷,0,ppb
東石站,22,正辛烷,0.02,ppb
東石站,22,乙苯,0.24,ppb
東石站,22,間-對二甲苯,0.55,ppb
東石站,22,苯乙烯,0.02,ppb
東石站,22,鄰二甲苯,0.05,ppb
東石站,22,正壬烷,0,ppb
東石站,22,異丙基苯,0,ppb
東石站,22,正丙基苯,0,ppb
東石站,22,間-乙基甲苯,0,ppb
東石站,22,對-乙基甲苯,0,ppb
東石站,22,1-3-5-三甲基苯,0,ppb
東石站,22,鄰-乙基甲苯,0.01,ppb
東石站,22,1-2-4-三甲基苯,0.05,ppb
東石站,22,葵烷,0,ppb
東石站,22,1-2-3-三甲基苯,0.08,ppb
東石站,22,間-二乙基苯,0,ppb
東石站,22,對-二乙基苯,0.01,ppbv
東石站,22,正十一烷,0.01,ppbv
褒忠站,22,乙烷,4.13,ppb
褒忠站,22,乙烯,0.69,ppb
褒忠站,22,丙烷,4.4,ppb
褒忠站,22,丙烯,0.39,ppb
褒忠站,22,異丁烷,1.36,ppb
褒忠站,22,正丁烷,2.59,ppb
褒忠站,22,乙炔,1.41,ppb
褒忠站,22,反2-丁烯,0.18,ppb
褒忠站,22,1-丁烯,0.86,ppb
褒忠站,22,順2-丁烯,0,ppb
褒忠站,22,環戊烷,0.21,ppb
褒忠站,22,異戊烷,1.64,ppb
褒忠站,22,正戊烷,0.85,ppb
褒忠站,22,反2-戊烯,0.15,ppb
褒忠站,22,1-戊烯,0,ppb
褒忠站,22,順2-戊烯,0,ppb
褒忠站,22,2-2-二甲基丁烷,0,ppb
褒忠站,22,2-3-二甲基丁烷,0,ppb
褒忠站,22,2-甲基戊烷,0.22,ppb
褒忠站,22,3-甲基戊烷,0.19,ppb
褒忠站,22,異戊二烯,0,ppb
褒忠站,22,正己烷,0.13,ppb
褒忠站,22,甲基環戊烷,0.19,ppb
褒忠站,22,2-4-二甲基戊烷,0,ppb
褒忠站,22,苯,2.37,ppb
褒忠站,22,環己烷,0.25,ppb
褒忠站,22,2-甲基己烷,0.17,ppb
褒忠站,22,2-3-二甲基戊烷,0,ppb
褒忠站,22,3-Methylhexane,0.25,ppb
褒忠站,22,2-2-4-三甲基戊烷,0.15,ppb
褒忠站,22,正庚烷,0.35,ppb
褒忠站,22,甲基環己烷,0.13,ppb
褒忠站,22,2-3-4-三甲基戊烷,0,ppb
褒忠站,22,甲苯,4.66,ppb
褒忠站,22,2-甲基庚烷,0.07,ppb
褒忠站,22,3-甲基庚烷,0,ppb
褒忠站,22,正辛烷,0,ppb
褒忠站,22,乙苯,0.68,ppb
褒忠站,22,間-對二甲苯,1.19,ppb
褒忠站,22,苯乙烯,0,ppb
褒忠站,22,鄰二甲苯,0.47,ppb
褒忠站,22,正壬烷,0.11,ppb
褒忠站,22,異丙基苯,0,ppb
褒忠站,22,正丙基苯,0.07,ppb
褒忠站,22,間-乙基甲苯,0.51,ppb
褒忠站,22,對-乙基甲苯,0.25,ppb
褒忠站,22,1-3-5-三甲基苯,0.23,ppb
褒忠站,22,鄰-乙基甲苯,0.25,ppb
褒忠站,22,1-2-4-三甲基苯,0.96,ppb
褒忠站,22,葵烷,0.22,ppb
褒忠站,22,1-2-3-三甲基苯,0.24,ppb
褒忠站,22,間-二乙基苯,0,ppb
褒忠站,22,對-二乙基苯,0.08,ppbv
褒忠站,22,正十一烷,0.1,ppbv
崙背站,22,乙烷,5.96,ppb
崙背站,22,乙烯,1.58,ppb
崙背站,22,丙烷,10.24,ppb
崙背站,22,丙烯,2.01,ppb
崙背站,22,異丁烷,2.21,ppb
崙背站,22,正丁烷,4.39,ppb
崙背站,22,乙炔,1.24,ppb
崙背站,22,反2-丁烯,0.43,ppb
崙背站,22,1-丁烯,1.44,ppb
崙背站,22,順2-丁烯,0.34,ppb
崙背站,22,環戊烷,0.27,ppb
崙背站,22,異戊烷,1.31,ppb
崙背站,22,正戊烷,0.87,ppb
崙背站,22,反2-戊烯,0.2,ppb
崙背站,22,1-戊烯,0.19,ppb
崙背站,22,順2-戊烯,0.15,ppb
崙背站,22,2-2-二甲基丁烷,0,ppb
崙背站,22,2-3-二甲基丁烷,0,ppb
崙背站,22,2-甲基戊烷,0.37,ppb
崙背站,22,3-甲基戊烷,0.21,ppb
崙背站,22,異戊二烯,0.18,ppb
崙背站,22,正己烷,0,ppb
崙背站,22,甲基環戊烷,0.27,ppb
崙背站,22,2-4-二甲基戊烷,0,ppb
崙背站,22,苯,2.97,ppb
崙背站,22,環己烷,0,ppb
崙背站,22,2-甲基己烷,0,ppb
崙背站,22,2-3-二甲基戊烷,0,ppb
崙背站,22,3-Methylhexane,0,ppb
崙背站,22,2-2-4-三甲基戊烷,0.09,ppb
崙背站,22,正庚烷,0.29,ppb
崙背站,22,甲基環己烷,0,ppb
崙背站,22,2-3-4-三甲基戊烷,0,ppb
崙背站,22,甲苯,4.48,ppb
崙背站,22,2-甲基庚烷,0,ppb
崙背站,22,3-甲基庚烷,0,ppb
崙背站,22,正辛烷,0,ppb
崙背站,22,乙苯,0.72,ppb
崙背站,22,間-對二甲苯,0.88,ppb
崙背站,22,苯乙烯,0,ppb
崙背站,22,鄰二甲苯,0.18,ppb
崙背站,22,正壬烷,0,ppb
崙背站,22,異丙基苯,0.14,ppb
崙背站,22,正丙基苯,0,ppb
崙背站,22,間-乙基甲苯,0,ppb
崙背站,22,對-乙基甲苯,0,ppb
崙背站,22,1-3-5-三甲基苯,0,ppb
崙背站,22,鄰-乙基甲苯,0,ppb
崙背站,22,1-2-4-三甲基苯,0,ppb
崙背站,22,葵烷,0,ppb
崙背站,22,1-2-3-三甲基苯,0,ppb
崙背站,22,間-二乙基苯,0,ppb
崙背站,22,對-二乙基苯,0,ppbv
崙背站,22,正十一烷,0,ppbv
四湖站,22,乙烷,5.19,ppb
四湖站,22,乙烯,0.21,ppb
四湖站,22,丙烷,5.33,ppb
四湖站,22,丙烯,0.25,ppb
四湖站,22,異丁烷,0.78,ppb
四湖站,22,正丁烷,1.3,ppb
四湖站,22,乙炔,0.76,ppb
四湖站,22,反2-丁烯,0,ppb
四湖站,22,1-丁烯,1.6,ppb
四湖站,22,順2-丁烯,0,ppb
四湖站,22,環戊烷,0,ppb
四湖站,22,異戊烷,0,ppb
四湖站,22,正戊烷,0.3,ppb
四湖站,22,反2-戊烯,0,ppb
四湖站,22,1-戊烯,0,ppb
四湖站,22,順2-戊烯,0,ppb
四湖站,22,2-2-二甲基丁烷,0.01,ppb
四湖站,22,2-3-二甲基丁烷,0,ppb
四湖站,22,2-甲基戊烷,0.09,ppb
四湖站,22,3-甲基戊烷,0,ppb
四湖站,22,異戊二烯,0,ppb
四湖站,22,正己烷,0,ppb
四湖站,22,甲基環戊烷,0,ppb
四湖站,22,2-4-二甲基戊烷,0,ppb
四湖站,22,苯,1.65,ppb
四湖站,22,環己烷,0,ppb
四湖站,22,2-甲基己烷,0,ppb
四湖站,22,2-3-二甲基戊烷,0,ppb
四湖站,22,3-Methylhexane,0,ppb
四湖站,22,2-2-4-三甲基戊烷,0,ppb
四湖站,22,正庚烷,0,ppb
四湖站,22,甲基環己烷,0,ppb
四湖站,22,2-3-4-三甲基戊烷,0,ppb
四湖站,22,甲苯,1.91,ppb
四湖站,22,2-甲基庚烷,0,ppb
四湖站,22,3-甲基庚烷,0,ppb
四湖站,22,正辛烷,0,ppb
四湖站,22,乙苯,0.32,ppb
四湖站,22,間-對二甲苯,0.33,ppb
四湖站,22,苯乙烯,0,ppb
四湖站,22,鄰二甲苯,0,ppb
四湖站,22,正壬烷,0,ppb
四湖站,22,異丙基苯,0,ppb
四湖站,22,正丙基苯,0,ppb
四湖站,22,間-乙基甲苯,0,ppb
四湖站,22,對-乙基甲苯,0,ppb
四湖站,22,1-3-5-三甲基苯,0,ppb
四湖站,22,鄰-乙基甲苯,0,ppb
四湖站,22,1-2-4-三甲基苯,0,ppb
四湖站,22,葵烷,0,ppb
四湖站,22,1-2-3-三甲基苯,0,ppb
四湖站,22,間-二乙基苯,0,ppb
四湖站,22,對-二乙基苯,0,ppbv
四湖站,22,正十一烷,0,ppbv
東勢站,22,乙烷,3.28,ppb
東勢站,22,乙烯,0.63,ppb
東勢站,22,丙烷,5.23,ppb
東勢站,22,丙烯,0.35,ppb
東勢站,22,異丁烷,1.77,ppb
東勢站,22,正丁烷,3.23,ppb
東勢站,22,乙炔,1.42,ppb
東勢站,22,反2-丁烯,0,ppb
東勢站,22,1-丁烯,0.59,ppb
東勢站,22,順2-丁烯,0.28,ppb
東勢站,22,環戊烷,0.2,ppb
東勢站,22,異戊烷,0,ppb
東勢站,22,正戊烷,0.5,ppb
東勢站,22,反2-戊烯,0,ppb
東勢站,22,1-戊烯,0,ppb
東勢站,22,順2-戊烯,0,ppb
東勢站,22,2-2-二甲基丁烷,0,ppb
東勢站,22,2-3-二甲基丁烷,0.3,ppb
東勢站,22,2-甲基戊烷,0.33,ppb
東勢站,22,3-甲基戊烷,0,ppb
東勢站,22,異戊二烯,0,ppb
東勢站,22,正己烷,0,ppb
東勢站,22,甲基環戊烷,0,ppb
東勢站,22,2-4-二甲基戊烷,0,ppb
東勢站,22,苯,1.05,ppb
東勢站,22,環己烷,0,ppb
東勢站,22,2-甲基己烷,0,ppb
東勢站,22,2-3-二甲基戊烷,0,ppb
東勢站,22,3-Methylhexane,0,ppb
東勢站,22,2-2-4-三甲基戊烷,0,ppb
東勢站,22,正庚烷,0,ppb
東勢站,22,甲基環己烷,0,ppb
東勢站,22,2-3-4-三甲基戊烷,0,ppb
東勢站,22,甲苯,2.59,ppb
東勢站,22,2-甲基庚烷,0,ppb
東勢站,22,3-甲基庚烷,0,ppb
東勢站,22,正辛烷,0,ppb
東勢站,22,乙苯,0.19,ppb
東勢站,22,間-對二甲苯,0.79,ppb
東勢站,22,苯乙烯,0,ppb
東勢站,22,鄰二甲苯,0.25,ppb
東勢站,22,正壬烷,0,ppb
東勢站,22,異丙基苯,0,ppb
東勢站,22,正丙基苯,0,ppb
東勢站,22,間-乙基甲苯,0,ppb
東勢站,22,對-乙基甲苯,0,ppb
東勢站,22,1-3-5-三甲基苯,0,ppb
東勢站,22,鄰-乙基甲苯,0,ppb
東勢站,22,1-2-4-三甲基苯,0.34,ppb
東勢站,22,葵烷,0,ppb
東勢站,22,1-2-3-三甲基苯,0,ppb
東勢站,22,間-二乙基苯,0,ppb
東勢站,22,對-二乙基苯,0.04,ppbv
東勢站,22,正十一烷,0,ppbv
麥寮站,22,乙烷,5.18,ppb
麥寮站,22,乙烯,0.29,ppb
麥寮站,22,丙烷,4.46,ppb
麥寮站,22,丙烯,0,ppb
麥寮站,22,異丁烷,0.74,ppb
麥寮站,22,正丁烷,1.25,ppb
麥寮站,22,乙炔,0.96,ppb
麥寮站,22,反2-丁烯,0,ppb
麥寮站,22,1-丁烯,0.73,ppb
麥寮站,22,順2-丁烯,0,ppb
麥寮站,22,環戊烷,0,ppb
麥寮站,22,異戊烷,0,ppb
麥寮站,22,正戊烷,0.28,ppb
麥寮站,22,反2-戊烯,0,ppb
麥寮站,22,1-戊烯,0,ppb
麥寮站,22,順2-戊烯,0,ppb
麥寮站,22,2-2-二甲基丁烷,0,ppb
麥寮站,22,2-3-二甲基丁烷,0,ppb
麥寮站,22,2-甲基戊烷,0.13,ppb
麥寮站,22,3-甲基戊烷,0.08,ppb
麥寮站,22,異戊二烯,0,ppb
麥寮站,22,正己烷,0,ppb
麥寮站,22,甲基環戊烷,0,ppb
麥寮站,22,2-4-二甲基戊烷,0,ppb
麥寮站,22,苯,1.1,ppb
麥寮站,22,環己烷,0,ppb
麥寮站,22,2-甲基己烷,0,ppb
麥寮站,22,2-3-二甲基戊烷,0,ppb
麥寮站,22,3-Methylhexane,0,ppb
麥寮站,22,2-2-4-三甲基戊烷,0,ppb
麥寮站,22,正庚烷,0,ppb
麥寮站,22,甲基環己烷,0,ppb
麥寮站,22,2-3-4-三甲基戊烷,0,ppb
麥寮站,22,甲苯,1.45,ppb
麥寮站,22,2-甲基庚烷,0,ppb
麥寮站,22,3-甲基庚烷,0,ppb
麥寮站,22,正辛烷,0,ppb
麥寮站,22,乙苯,0,ppb
麥寮站,22,間-對二甲苯,0.33,ppb
麥寮站,22,苯乙烯,0,ppb
麥寮站,22,鄰二甲苯,0,ppb
麥寮站,22,正壬烷,0,ppb
麥寮站,22,異丙基苯,0,ppb
麥寮站,22,正丙基苯,0,ppb
麥寮站,22,間-乙基甲苯,0,ppb
麥寮站,22,對-乙基甲苯,0,ppb
麥寮站,22,1-3-5-三甲基苯,0,ppb
麥寮站,22,鄰-乙基甲苯,0,ppb
麥寮站,22,1-2-4-三甲基苯,0,ppb
麥寮站,22,葵烷,0,ppb
麥寮站,22,1-2-3-三甲基苯,0,ppb
麥寮站,22,間-二乙基苯,0,ppb
麥寮站,22,對-二乙基苯,0,ppbv
麥寮站,22,正十一烷,0,ppbv
台西站,22,乙烷,4.27,ppb
台西站,22,乙烯,0.56,ppb
台西站,22,丙烷,3.37,ppb
台西站,22,丙烯,0,ppb
台西站,22,異丁烷,0.54,ppb
台西站,22,正丁烷,0.8,ppb
台西站,22,乙炔,0.85,ppb
台西站,22,反2-丁烯,0.21,ppb
台西站,22,1-丁烯,0.38,ppb
台西站,22,順2-丁烯,0,ppb
台西站,22,環戊烷,0,ppb
台西站,22,異戊烷,0,ppb
台西站,22,正戊烷,0.24,ppb
台西站,22,反2-戊烯,0,ppb
台西站,22,1-戊烯,0,ppb
台西站,22,順2-戊烯,0,ppb
台西站,22,2-2-二甲基丁烷,0,ppb
台西站,22,2-3-二甲基丁烷,0,ppb
台西站,22,2-甲基戊烷,0,ppb
台西站,22,3-甲基戊烷,0,ppb
台西站,22,異戊二烯,0,ppb
台西站,22,正己烷,0,ppb
台西站,22,甲基環戊烷,0,ppb
台西站,22,2-4-二甲基戊烷,0,ppb
台西站,22,苯,0.69,ppb
台西站,22,環己烷,0,ppb
台西站,22,2-甲基己烷,0,ppb
台西站,22,2-3-二甲基戊烷,0,ppb
台西站,22,3-Methylhexane,0,ppb
台西站,22,2-2-4-三甲基戊烷,0,ppb
台西站,22,正庚烷,0,ppb
台西站,22,甲基環己烷,0,ppb
台西站,22,2-3-4-三甲基戊烷,0,ppb
台西站,22,甲苯,0.6,ppb
台西站,22,2-甲基庚烷,0,ppb
台西站,22,3-甲基庚烷,0,ppb
台西站,22,正辛烷,0,ppb
台西站,22,乙苯,0,ppb
台西站,22,間-對二甲苯,0,ppb
台西站,22,苯乙烯,0,ppb
台西站,22,鄰二甲苯,0,ppb
台西站,22,正壬烷,0,ppb
台西站,22,異丙基苯,0,ppb
台西站,22,正丙基苯,0,ppb
台西站,22,間-乙基甲苯,0,ppb
台西站,22,對-乙基甲苯,0,ppb
台西站,22,1-3-5-三甲基苯,0,ppb
台西站,22,鄰-乙基甲苯,0,ppb
台西站,22,1-2-4-三甲基苯,0,ppb
台西站,22,葵烷,0,ppb
台西站,22,1-2-3-三甲基苯,0,ppb
台西站,22,間-二乙基苯,0,ppb
台西站,22,對-二乙基苯,0,ppbv
台西站,22,正十一烷,0,ppbv
土庫站,22,乙烷,5.15,ppb
土庫站,22,乙烯,1.61,ppb
土庫站,22,丙烷,5.93,ppb
土庫站,22,丙烯,0.9,ppb
土庫站,22,異丁烷,1.65,ppb
土庫站,22,正丁烷,3.21,ppb
土庫站,22,乙炔,1.94,ppb
土庫站,22,反2-丁烯,0,ppb
土庫站,22,1-丁烯,0.73,ppb
土庫站,22,順2-丁烯,0,ppb
土庫站,22,環戊烷,0.22,ppb
土庫站,22,異戊烷,0,ppb
土庫站,22,正戊烷,0.89,ppb
