station,time,item,value,unit
大城站,09,乙烷,2.39,ppb
大城站,09,乙烯,1.53,ppb
大城站,09,丙烷,2.16,ppb
大城站,09,丙烯,0.71,ppb
大城站,09,異丁烷,1.19,ppb
大城站,09,正丁烷,2.11,ppb
大城站,09,乙炔,6.1,ppb
大城站,09,反2-丁烯,0.21,ppb
大城站,09,1-丁烯,0.58,ppb
大城站,09,順2-丁烯,0,ppb
大城站,09,環戊烷,0.47,ppb
大城站,09,異戊烷,2.07,ppb
大城站,09,正戊烷,0.97,ppb
大城站,09,反2-戊烯,0,ppb
大城站,09,1-戊烯,0,ppb
大城站,09,順2-戊烯,0,ppb
大城站,09,2-2-二甲基丁烷,0,ppb
大城站,09,2-3-二甲基丁烷,0.17,ppb
大城站,09,2-甲基戊烷,0.53,ppb
大城站,09,3-甲基戊烷,0.34,ppb
大城站,09,異戊二烯,2.01,ppb
大城站,09,正己烷,0.25,ppb
大城站,09,甲基環戊烷,0,ppb
大城站,09,2-4-二甲基戊烷,0,ppb
大城站,09,苯,0.67,ppb
大城站,09,環己烷,0,ppb
大城站,09,2-甲基己烷,0,ppb
大城站,09,2-3-二甲基戊烷,0,ppb
大城站,09,3-Methylhexane,0,ppb
大城站,09,2-2-4-三甲基戊烷,0,ppb
大城站,09,正庚烷,0,ppb
大城站,09,甲基環己烷,0,ppb
大城站,09,2-3-4-三甲基戊烷,0,ppb
大城站,09,甲苯,2.29,ppb
大城站,09,2-甲基庚烷,0,ppb
大城站,09,3-甲基庚烷,0,ppb
大城站,09,正辛烷,0,ppb
大城站,09,乙苯,0.1,ppb
大城站,09,間-對二甲苯,0.89,ppb
大城站,09,苯乙烯,0,ppb
大城站,09,鄰二甲苯,0.22,ppb
大城站,09,正壬烷,0,ppb
大城站,09,異丙基苯,0,ppb
大城站,09,正丙基苯,0,ppb
大城站,09,間-乙基甲苯,0.29,ppb
大城站,09,對-乙基甲苯,0,ppb
大城站,09,1-3-5-三甲基苯,0,ppb
大城站,09,鄰-乙基甲苯,0.26,ppb
大城站,09,1-2-4-三甲基苯,0.88,ppb
大城站,09,葵烷,0,ppb
大城站,09,1-2-3-三甲基苯,0,ppb
大城站,09,間-二乙基苯,0,ppb
大城站,09,對-二乙基苯,0,ppbv
大城站,09,正十一烷,0.16,ppbv
東石站,09,乙烷,3.34,ppb
東石站,09,乙烯,3.02,ppb
東石站,09,丙烷,5.44,ppb
東石站,09,丙烯,1.02,ppb
東石站,09,異丁烷,2.81,ppb
東石站,09,正丁烷,5.48,ppb
東石站,09,乙炔,7.62,ppb
東石站,09,反2-丁烯,0.26,ppb
東石站,09,1-丁烯,0.8,ppb
東石站,09,順2-丁烯,0.15,ppb
東石站,09,環戊烷,0.52,ppb
東石站,09,異戊烷,3.5,ppb
東石站,09,正戊烷,1.08,ppb
東石站,09,反2-戊烯,0,ppb
東石站,09,1-戊烯,0,ppb
東石站,09,順2-戊烯,0,ppb
東石站,09,2-2-二甲基丁烷,0,ppb
東石站,09,2-3-二甲基丁烷,0.32,ppb
東石站,09,2-甲基戊烷,1.02,ppb
東石站,09,3-甲基戊烷,0.76,ppb
東石站,09,異戊二烯,2.13,ppb
東石站,09,正己烷,0.5,ppb
東石站,09,甲基環戊烷,0,ppb
東石站,09,2-4-二甲基戊烷,0,ppb
東石站,09,苯,2.17,ppb
東石站,09,環己烷,0,ppb
東石站,09,2-甲基己烷,0.21,ppb
東石站,09,2-3-二甲基戊烷,0,ppb
東石站,09,3-Methylhexane,0,ppb
東石站,09,2-2-4-三甲基戊烷,0.55,ppb
東石站,09,正庚烷,0.26,ppb
東石站,09,甲基環己烷,0,ppb
東石站,09,2-3-4-三甲基戊烷,0.27,ppb
東石站,09,甲苯,7.44,ppb
東石站,09,2-甲基庚烷,0,ppb
東石站,09,3-甲基庚烷,0,ppb
東石站,09,正辛烷,0,ppb
東石站,09,乙苯,0.75,ppb
東石站,09,間-對二甲苯,1.6,ppb
東石站,09,苯乙烯,0,ppb
東石站,09,鄰二甲苯,0.62,ppb
東石站,09,正壬烷,0,ppb
東石站,09,異丙基苯,0,ppb
東石站,09,正丙基苯,0,ppb
東石站,09,間-乙基甲苯,0.27,ppb
東石站,09,對-乙基甲苯,0,ppb
東石站,09,1-3-5-三甲基苯,0,ppb
東石站,09,鄰-乙基甲苯,0,ppb
東石站,09,1-2-4-三甲基苯,0.78,ppb
東石站,09,葵烷,0,ppb
東石站,09,1-2-3-三甲基苯,0.27,ppb
東石站,09,間-二乙基苯,0,ppb
東石站,09,對-二乙基苯,0,ppbv
東石站,09,正十一烷,0.24,ppbv
褒忠站,09,乙烷,2.62,ppb
褒忠站,09,乙烯,1.58,ppb
褒忠站,09,丙烷,3.41,ppb
褒忠站,09,丙烯,0.61,ppb
褒忠站,09,異丁烷,2.1,ppb
褒忠站,09,正丁烷,4.12,ppb
褒忠站,09,乙炔,4.15,ppb
褒忠站,09,反2-丁烯,0.13,ppb
褒忠站,09,1-丁烯,0.64,ppb
褒忠站,09,順2-丁烯,0,ppb
褒忠站,09,環戊烷,0.44,ppb
褒忠站,09,異戊烷,5.33,ppb
褒忠站,09,正戊烷,1.96,ppb
褒忠站,09,反2-戊烯,0,ppb
褒忠站,09,1-戊烯,0,ppb
褒忠站,09,順2-戊烯,0,ppb
褒忠站,09,2-2-二甲基丁烷,0,ppb
褒忠站,09,2-3-二甲基丁烷,0.2,ppb
褒忠站,09,2-甲基戊烷,0.63,ppb
褒忠站,09,3-甲基戊烷,0.58,ppb
褒忠站,09,異戊二烯,2.13,ppb
褒忠站,09,正己烷,0.08,ppb
褒忠站,09,甲基環戊烷,0.65,ppb
褒忠站,09,2-4-二甲基戊烷,0,ppb
褒忠站,09,苯,0.33,ppb
褒忠站,09,環己烷,0.03,ppb
褒忠站,09,2-甲基己烷,0.2,ppb
褒忠站,09,2-3-二甲基戊烷,0,ppb
褒忠站,09,3-Methylhexane,0.49,ppb
褒忠站,09,2-2-4-三甲基戊烷,0.78,ppb
褒忠站,09,正庚烷,0.38,ppb
褒忠站,09,甲基環己烷,0.08,ppb
褒忠站,09,2-3-4-三甲基戊烷,0.25,ppb
褒忠站,09,甲苯,5.41,ppb
褒忠站,09,2-甲基庚烷,0.07,ppb
褒忠站,09,3-甲基庚烷,0.04,ppb
褒忠站,09,正辛烷,0.14,ppb
褒忠站,09,乙苯,0.81,ppb
褒忠站,09,間-對二甲苯,1.61,ppb
褒忠站,09,苯乙烯,0.02,ppb
褒忠站,09,鄰二甲苯,0.7,ppb
褒忠站,09,正壬烷,0.07,ppb
褒忠站,09,異丙基苯,0.22,ppb
褒忠站,09,正丙基苯,0.36,ppb
褒忠站,09,間-乙基甲苯,1.15,ppb
褒忠站,09,對-乙基甲苯,0.63,ppb
褒忠站,09,1-3-5-三甲基苯,0.23,ppb
褒忠站,09,鄰-乙基甲苯,0.78,ppb
褒忠站,09,1-2-4-三甲基苯,2.19,ppb
褒忠站,09,葵烷,0.03,ppb
褒忠站,09,1-2-3-三甲基苯,0.52,ppb
褒忠站,09,間-二乙基苯,0.06,ppb
褒忠站,09,對-二乙基苯,0.02,ppbv
褒忠站,09,正十一烷,0.37,ppbv
崙背站,09,乙烷,2.27,ppb
崙背站,09,乙烯,1.11,ppb
崙背站,09,丙烷,1.92,ppb
崙背站,09,丙烯,0.68,ppb
崙背站,09,異丁烷,1.09,ppb
崙背站,09,正丁烷,1.76,ppb
崙背站,09,乙炔,2.87,ppb
崙背站,09,反2-丁烯,0.32,ppb
崙背站,09,1-丁烯,0.74,ppb
崙背站,09,順2-丁烯,0,ppb
崙背站,09,環戊烷,0.39,ppb
崙背站,09,異戊烷,1.92,ppb
崙背站,09,正戊烷,0.84,ppb
崙背站,09,反2-戊烯,0,ppb
崙背站,09,1-戊烯,0,ppb
崙背站,09,順2-戊烯,0,ppb
崙背站,09,2-2-二甲基丁烷,0,ppb
崙背站,09,2-3-二甲基丁烷,0.33,ppb
崙背站,09,2-甲基戊烷,0.26,ppb
崙背站,09,3-甲基戊烷,0,ppb
崙背站,09,異戊二烯,1.63,ppb
崙背站,09,正己烷,0,ppb
崙背站,09,甲基環戊烷,0,ppb
崙背站,09,2-4-二甲基戊烷,0,ppb
崙背站,09,苯,0,ppb
崙背站,09,環己烷,0,ppb
崙背站,09,2-甲基己烷,0,ppb
崙背站,09,2-3-二甲基戊烷,0,ppb
崙背站,09,3-Methylhexane,0,ppb
崙背站,09,2-2-4-三甲基戊烷,0,ppb
崙背站,09,正庚烷,0,ppb
崙背站,09,甲基環己烷,0,ppb
