station,time,item,value,unit
大城站,06,乙烷,4.99,ppb
大城站,06,乙烯,4.36,ppb
大城站,06,丙烷,8.81,ppb
大城站,06,丙烯,2.08,ppb
大城站,06,異丁烷,5.03,ppb
大城站,06,正丁烷,8.82,ppb
大城站,06,乙炔,14.43,ppb
大城站,06,反2-丁烯,0.48,ppb
大城站,06,1-丁烯,1.12,ppb
大城站,06,順2-丁烯,0.31,ppb
大城站,06,環戊烷,0,ppb
大城站,06,異戊烷,6.47,ppb
大城站,06,正戊烷,3.75,ppb
大城站,06,反2-戊烯,0.3,ppb
大城站,06,1-戊烯,0.19,ppb
大城站,06,順2-戊烯,0.17,ppb
大城站,06,"2,2-二甲基丁烷",0.15,ppb
大城站,06,"2,3-二甲基丁烷",0.71,ppb
大城站,06,2-甲基戊烷,2.6,ppb
大城站,06,3-甲基戊烷,1.88,ppb
大城站,06,異戊二烯,1.51,ppb
大城站,06,正己烷,2.55,ppb
大城站,06,甲基環戊烷,1.23,ppb
大城站,06,"2,4-二甲基戊烷",0,ppb
大城站,06,苯,1.75,ppb
大城站,06,環己烷,6.5,ppb
大城站,06,2-甲基己烷,0.82,ppb
大城站,06,"2,3-二甲基戊烷",0,ppb
大城站,06,3-甲基己烷,1.56,ppb
大城站,06,"2,2,4-三甲基戊烷",1.43,ppb
大城站,06,正庚烷,0.96,ppb
大城站,06,甲基環己烷,0.49,ppb
大城站,06,"2,3,4-三甲基戊烷",0.58,ppb
大城站,06,甲苯,26.36,ppb
大城站,06,2-甲基庚烷,0,ppb
大城站,06,3-甲基庚烷,0.37,ppb
大城站,06,正辛烷,0.28,ppb
大城站,06,乙苯,2.1,ppb
大城站,06,"間,對二甲苯",9.82,ppb
大城站,06,苯乙烯,0,ppb
大城站,06,鄰二甲苯,2.92,ppb
大城站,06,正壬烷,0.16,ppb
大城站,06,異丙基苯,0,ppb
大城站,06,正丙基苯,0,ppb
大城站,06,間-乙基甲苯,0,ppb
大城站,06,對-乙基甲苯,0,ppb
大城站,06,"1,3,5-三甲基苯",0.29,ppb
大城站,06,鄰-乙基甲苯,0.51,ppb
大城站,06,"1,2,4-三甲基苯",1.65,ppb
大城站,06,葵烷,0.34,ppb
大城站,06,"1,2,3-三甲基苯",0.54,ppb
