station,time,item,value,unit
大城站,21,乙烷,0.33,ppb
大城站,21,乙烯,0.21,ppb
大城站,21,丙烷,0.04,ppb
大城站,21,丙烯,0.15,ppb
大城站,21,異丁烷,0.06,ppb
大城站,21,正丁烷,0.15,ppb
大城站,21,乙炔,0.86,ppb
大城站,21,反2-丁烯,0.04,ppb
大城站,21,1-丁烯,0.11,ppb
大城站,21,順2-丁烯,0.03,ppb
大城站,21,環戊烷,0.06,ppb
大城站,21,異戊烷,0.12,ppb
大城站,21,正戊烷,0.06,ppb
大城站,21,反2-戊烯,0.02,ppb
大城站,21,1-戊烯,0,ppb
大城站,21,順2-戊烯,0,ppb
大城站,21,"2,2-二甲基丁烷",0,ppb
大城站,21,"2,3-二甲基丁烷",0.02,ppb
大城站,21,2-甲基戊烷,0.01,ppb
大城站,21,3-甲基戊烷,0,ppb
大城站,21,異戊二烯,0,ppb
大城站,21,正己烷,0,ppb
大城站,21,甲基環戊烷,0,ppb
大城站,21,"2,4-二甲基戊烷",0,ppb
大城站,21,苯,0.06,ppb
大城站,21,環己烷,0,ppb
大城站,21,2-甲基己烷,0.02,ppb
大城站,21,"2,3-二甲基戊烷",0,ppb
大城站,21,3-甲基己烷,0.01,ppb
大城站,21,"2,2,4-三甲基戊烷",0.01,ppb
大城站,21,正庚烷,0,ppb
大城站,21,甲基環己烷,0.01,ppb
大城站,21,"2,3,4-三甲基戊烷",0.02,ppb
大城站,21,甲苯,0.13,ppb
大城站,21,2-甲基庚烷,0,ppb
大城站,21,3-甲基庚烷,0,ppb
大城站,21,正辛烷,0,ppb
大城站,21,乙苯,0,ppb
大城站,21,"間,對二甲苯",0.06,ppb
大城站,21,苯乙烯,0,ppb
大城站,21,鄰二甲苯,0.01,ppb
大城站,21,正壬烷,0,ppb
大城站,21,異丙基苯,0,ppb
大城站,21,正丙基苯,0,ppb
大城站,21,間-乙基甲苯,0,ppb
大城站,21,對-乙基甲苯,0,ppb
大城站,21,"1,3,5-三甲基苯",0,ppb
大城站,21,鄰-乙基甲苯,0,ppb
大城站,21,"1,2,4-三甲基苯",0.02,ppb
大城站,21,葵烷,0,ppb
大城站,21,"1,2,3-三甲基苯",0,ppb
大城站,21,間-二乙基苯,0,ppb
大城站,21,對-二乙基苯,0,ppbv
