station,time,item,value,unit
大城站,07,乙烷,4.62,ppb
大城站,07,乙烯,2.14,ppb
大城站,07,丙烷,2.65,ppb
大城站,07,丙烯,0.67,ppb
大城站,07,異丁烷,0.87,ppb
大城站,07,正丁烷,1.72,ppb
大城站,07,乙炔,1.19,ppb
大城站,07,反2-丁烯,0.08,ppb
大城站,07,1-丁烯,0.36,ppb
大城站,07,順2-丁烯,0.1,ppb
大城站,07,環戊烷,0,ppb
大城站,07,異戊烷,0.63,ppb
大城站,07,正戊烷,0.28,ppb
大城站,07,反2-戊烯,0,ppb
大城站,07,1-戊烯,0.04,ppb
大城站,07,順2-戊烯,0,ppb
大城站,07,"2,2-二甲基丁烷",0,ppb
大城站,07,"2,3-二甲基丁烷",0.04,ppb
大城站,07,2-甲基戊烷,0.17,ppb
大城站,07,3-甲基戊烷,0.16,ppb
大城站,07,異戊二烯,0.14,ppb
大城站,07,正己烷,0.33,ppb
大城站,07,甲基環戊烷,0.22,ppb
大城站,07,"2,4-二甲基戊烷",0,ppb
大城站,07,苯,0.52,ppb
大城站,07,環己烷,0.2,ppb
大城站,07,2-甲基己烷,0.16,ppb
大城站,07,"2,3-二甲基戊烷",0.06,ppb
大城站,07,3-甲基己烷,0.17,ppb
大城站,07,"2,2,4-三甲基戊烷",0.09,ppb
大城站,07,正庚烷,0.19,ppb
大城站,07,甲基環己烷,0.08,ppb
大城站,07,"2,3,4-三甲基戊烷",0.03,ppb
大城站,07,甲苯,3.12,ppb
大城站,07,2-甲基庚烷,0,ppb
大城站,07,3-甲基庚烷,0.01,ppb
大城站,07,正辛烷,0.02,ppb
大城站,07,乙苯,0.11,ppb
大城站,07,"間,對二甲苯",0.3,ppb
大城站,07,苯乙烯,0,ppb
大城站,07,鄰二甲苯,0.12,ppb
大城站,07,正壬烷,0,ppb
大城站,07,異丙基苯,0,ppb
大城站,07,正丙基苯,0,ppb
大城站,07,間-乙基甲苯,0,ppb
大城站,07,對-乙基甲苯,0.06,ppb
大城站,07,"1,3,5-三甲基苯",0.04,ppb
大城站,07,鄰-乙基甲苯,0.05,ppb
大城站,07,"1,2,4-三甲基苯",0.17,ppb
大城站,07,葵烷,0.02,ppb
大城站,07,"1,2,3-三甲基苯",0.06,ppb
大城站,07,間-二乙基苯,0,ppb
大城站,07,對-二乙基苯,0.02,ppbv
大城站,07,正十一烷,0.02,ppbv
東石站,07,乙烷,2.52,ppb
東石站,07,乙烯,1.99,ppb
東石站,07,丙烷,1.84,ppb
東石站,07,丙烯,0.46,ppb
東石站,07,異丁烷,0.51,ppb
東石站,07,正丁烷,0.97,ppb
東石站,07,乙炔,1.1,ppb
東石站,07,反2-丁烯,0.06,ppb
東石站,07,1-丁烯,0.29,ppb
東石站,07,順2-丁烯,0,ppb
東石站,07,環戊烷,0,ppb
東石站,07,異戊烷,0.52,ppb
東石站,07,正戊烷,0.22,ppb
東石站,07,反2-戊烯,0,ppb
東石站,07,1-戊烯,0,ppb
東石站,07,順2-戊烯,0,ppb
東石站,07,"2,2-二甲基丁烷",0,ppb
東石站,07,"2,3-二甲基丁烷",0,ppb
東石站,07,2-甲基戊烷,0.08,ppb
東石站,07,3-甲基戊烷,0,ppb
東石站,07,異戊二烯,0.04,ppb
東石站,07,正己烷,0.14,ppb
