station,time,item,value,unit
大城站,07,乙烷,10.84,ppb
大城站,07,乙烯,6.94,ppb
大城站,07,丙烷,13.6,ppb
大城站,07,丙烯,3.56,ppb
大城站,07,異丁烷,4.99,ppb
大城站,07,正丁烷,10.84,ppb
大城站,07,乙炔,4.81,ppb
大城站,07,反2-丁烯,0.66,ppb
大城站,07,1-丁烯,1.71,ppb
大城站,07,順2-丁烯,0.47,ppb
大城站,07,環戊烷,1.05,ppb
大城站,07,異戊烷,6.09,ppb
大城站,07,正戊烷,2.9,ppb
大城站,07,反2-戊烯,0.4,ppb
大城站,07,1-戊烯,0.23,ppb
大城站,07,順2-戊烯,0.17,ppb
大城站,07,2-2-二甲基丁烷,0.24,ppb
大城站,07,2-3-二甲基丁烷,0.72,ppb
大城站,07,2-甲基戊烷,2.05,ppb
大城站,07,3-甲基戊烷,1.44,ppb
大城站,07,異戊二烯,0.37,ppb
大城站,07,正己烷,1.64,ppb
大城站,07,甲基環戊烷,1.04,ppb
大城站,07,2-4-二甲基戊烷,0,ppb
大城站,07,苯,3.78,ppb
大城站,07,環己烷,0.38,ppb
大城站,07,2-甲基己烷,0.67,ppb
大城站,07,2-3-二甲基戊烷,0,ppb
大城站,07,3-Methylhexane,1.21,ppb
大城站,07,2-2-4-三甲基戊烷,1.8,ppb
大城站,07,正庚烷,0.89,ppb
大城站,07,甲基環己烷,0.44,ppb
大城站,07,2-3-4-三甲基戊烷,0.72,ppb
大城站,07,甲苯,32.57,ppb
大城站,07,2-甲基庚烷,0.24,ppb
大城站,07,3-甲基庚烷,0.18,ppb
大城站,07,正辛烷,0.49,ppb
大城站,07,乙苯,1.9,ppb
大城站,07,間-對二甲苯,5.28,ppb
大城站,07,苯乙烯,0.09,ppb
大城站,07,鄰二甲苯,1.92,ppb
大城站,07,正壬烷,0.28,ppb
大城站,07,異丙基苯,0.17,ppb
大城站,07,正丙基苯,0.28,ppb
大城站,07,間-乙基甲苯,1.62,ppb
大城站,07,對-乙基甲苯,0.82,ppb
大城站,07,1-3-5-三甲基苯,0.79,ppb
大城站,07,鄰-乙基甲苯,0.65,ppb
大城站,07,1-2-4-三甲基苯,2.76,ppb
大城站,07,葵烷,0.19,ppb
大城站,07,1-2-3-三甲基苯,1.11,ppb
大城站,07,間-二乙基苯,0,ppb
大城站,07,對-二乙基苯,0.1,ppbv
大城站,07,正十一烷,0.32,ppbv
東石站,07,乙烷,9.71,ppb
東石站,07,乙烯,6.09,ppb
東石站,07,丙烷,34.81,ppb
東石站,07,丙烯,3.76,ppb
東石站,07,異丁烷,6.8,ppb
東石站,07,正丁烷,12.32,ppb
東石站,07,乙炔,6.8,ppb
東石站,07,反2-丁烯,0.42,ppb
東石站,07,1-丁烯,1.41,ppb
