station,time,item,value,unit
大城站,22,乙烷,0.21,ppb
大城站,22,乙烯,0.37,ppb
大城站,22,丙烷,0.49,ppb
大城站,22,丙烯,0.23,ppb
大城站,22,異丁烷,0.19,ppb
大城站,22,正丁烷,0.41,ppb
大城站,22,乙炔,0,ppb
大城站,22,反2-丁烯,0.06,ppb
大城站,22,1-丁烯,0.04,ppb
大城站,22,順2-丁烯,0.04,ppb
大城站,22,環戊烷,0,ppb
大城站,22,異戊烷,0.42,ppb
大城站,22,正戊烷,0.2,ppb
大城站,22,反2-戊烯,0.05,ppb
大城站,22,1-戊烯,0.02,ppb
大城站,22,順2-戊烯,0.03,ppb
大城站,22,"2,2-二甲基丁烷",0,ppb
大城站,22,"2,3-二甲基丁烷",0,ppb
大城站,22,2-甲基戊烷,0.05,ppb
大城站,22,3-甲基戊烷,0.03,ppb
大城站,22,異戊二烯,0,ppb
大城站,22,正己烷,0.01,ppb
大城站,22,甲基環戊烷,0.02,ppb
大城站,22,"2,4-二甲基戊烷",0,ppb
大城站,22,苯,0.02,ppb
大城站,22,環己烷,0.01,ppb
大城站,22,2-甲基己烷,0,ppb
大城站,22,"2,3-二甲基戊烷",0,ppb
大城站,22,3-甲基己烷,0.01,ppb
大城站,22,"2,2,4-三甲基戊烷",0,ppb
大城站,22,正庚烷,0,ppb
大城站,22,甲基環己烷,0,ppb
大城站,22,"2,3,4-三甲基戊烷",0,ppb
大城站,22,甲苯,0.08,ppb
大城站,22,2-甲基庚烷,0,ppb
大城站,22,3-甲基庚烷,0,ppb
大城站,22,正辛烷,0,ppb
大城站,22,乙苯,0,ppb
大城站,22,"間,對二甲苯",0.03,ppb
大城站,22,苯乙烯,0,ppb
大城站,22,鄰二甲苯,0,ppb
大城站,22,正壬烷,0,ppb
大城站,22,異丙基苯,0,ppb
大城站,22,正丙基苯,0,ppb
大城站,22,間-乙基甲苯,0,ppb
大城站,22,對-乙基甲苯,0,ppb
大城站,22,"1,3,5-三甲基苯",0,ppb
大城站,22,鄰-乙基甲苯,0,ppb
大城站,22,"1,2,4-三甲基苯",0.01,ppb
大城站,22,葵烷,0,ppb
大城站,22,"1,2,3-三甲基苯",0,ppb
大城站,22,間-二乙基苯,0,ppb
大城站,22,對-二乙基苯,0,ppbv
大城站,22,正十一烷,0,ppbv
東石站,22,乙烷,0,ppb
東石站,22,乙烯,0,ppb
東石站,22,丙烷,0,ppb
東石站,22,丙烯,0,ppb
東石站,22,異丁烷,0,ppb
東石站,22,正丁烷,0.04,ppb
東石站,22,乙炔,0,ppb
東石站,22,反2-丁烯,0,ppb
東石站,22,1-丁烯,0.1,ppb
東石站,22,順2-丁烯,0,ppb
東石站,22,環戊烷,0,ppb
東石站,22,異戊烷,0.04,ppb
東石站,22,正戊烷,0.04,ppb
東石站,22,反2-戊烯,0,ppb
東石站,22,1-戊烯,0,ppb
東石站,22,順2-戊烯,0,ppb
東石站,22,"2,2-二甲基丁烷",0,ppb
東石站,22,"2,3-二甲基丁烷",0,ppb
東石站,22,2-甲基戊烷,0,ppb
東石站,22,3-甲基戊烷,0,ppb
東石站,22,異戊二烯,0,ppb
東石站,22,正己烷,0,ppb
東石站,22,甲基環戊烷,0,ppb
東石站,22,"2,4-二甲基戊烷",0,ppb
東石站,22,苯,0,ppb
東石站,22,環己烷,0,ppb
東石站,22,2-甲基己烷,0,ppb
東石站,22,"2,3-二甲基戊烷",0,ppb
東石站,22,3-甲基己烷,0,ppb
東石站,22,"2,2,4-三甲基戊烷",0,ppb
東石站,22,正庚烷,0,ppb
東石站,22,甲基環己烷,0.01,ppb
東石站,22,"2,3,4-三甲基戊烷",0,ppb
東石站,22,甲苯,0.08,ppb
東石站,22,2-甲基庚烷,0.01,ppb
東石站,22,3-甲基庚烷,0,ppb
東石站,22,正辛烷,0,ppb
東石站,22,乙苯,0,ppb
東石站,22,"間,對二甲苯",0,ppb
東石站,22,苯乙烯,0,ppb
東石站,22,鄰二甲苯,0,ppb
東石站,22,正壬烷,0,ppb
東石站,22,異丙基苯,0,ppb
東石站,22,正丙基苯,0,ppb
東石站,22,間-乙基甲苯,0,ppb
東石站,22,對-乙基甲苯,0,ppb
東石站,22,"1,3,5-三甲基苯",0,ppb
東石站,22,鄰-乙基甲苯,0,ppb
東石站,22,"1,2,4-三甲基苯",0,ppb
東石站,22,葵烷,0,ppb
東石站,22,"1,2,3-三甲基苯",0,ppb
東石站,22,間-二乙基苯,0,ppb
東石站,22,對-二乙基苯,0,ppbv
東石站,22,正十一烷,0,ppbv
褒忠站,22,乙烷,0.25,ppb
褒忠站,22,乙烯,0.21,ppb
褒忠站,22,丙烷,0.28,ppb
褒忠站,22,丙烯,0.14,ppb
褒忠站,22,異丁烷,0.17,ppb
褒忠站,22,正丁烷,0.34,ppb
褒忠站,22,乙炔,0,ppb
褒忠站,22,反2-丁烯,0.03,ppb
褒忠站,22,1-丁烯,0.2,ppb
褒忠站,22,順2-丁烯,0.02,ppb
褒忠站,22,環戊烷,0.03,ppb
褒忠站,22,異戊烷,0.12,ppb
褒忠站,22,正戊烷,0.05,ppb
褒忠站,22,反2-戊烯,0,ppb
褒忠站,22,1-戊烯,0,ppb
褒忠站,22,順2-戊烯,0,ppb
褒忠站,22,"2,2-二甲基丁烷",0,ppb
