station,time,item,value,unit
大城站,08,乙烷,2,ppb
大城站,08,乙烯,3.44,ppb
大城站,08,丙烷,3.12,ppb
大城站,08,丙烯,1.82,ppb
大城站,08,異丁烷,1.94,ppb
大城站,08,正丁烷,3.61,ppb
大城站,08,乙炔,8.58,ppb
大城站,08,反2-丁烯,0.42,ppb
大城站,08,1-丁烯,0.68,ppb
大城站,08,順2-丁烯,0.31,ppb
大城站,08,環戊烷,0,ppb
大城站,08,異戊烷,1.96,ppb
大城站,08,正戊烷,1.24,ppb
大城站,08,反2-戊烯,0.21,ppb
大城站,08,1-戊烯,0,ppb
大城站,08,順2-戊烯,0,ppb
大城站,08,"2,2-二甲基丁烷",0,ppb
大城站,08,"2,3-二甲基丁烷",0.21,ppb
大城站,08,2-甲基戊烷,0.72,ppb
大城站,08,3-甲基戊烷,0.49,ppb
大城站,08,異戊二烯,1,ppb
大城站,08,正己烷,0,ppb
大城站,08,甲基環戊烷,0,ppb
大城站,08,"2,4-二甲基戊烷",0,ppb
大城站,08,苯,0,ppb
大城站,08,環己烷,0,ppb
大城站,08,2-甲基己烷,0,ppb
大城站,08,"2,3-二甲基戊烷",0,ppb
大城站,08,3-甲基己烷,0,ppb
大城站,08,"2,2,4-三甲基戊烷",0.22,ppb
大城站,08,正庚烷,0.08,ppb
大城站,08,甲基環己烷,0,ppb
大城站,08,"2,3,4-三甲基戊烷",0,ppb
大城站,08,甲苯,1.97,ppb
大城站,08,2-甲基庚烷,0,ppb
大城站,08,3-甲基庚烷,0,ppb
大城站,08,正辛烷,0,ppb
大城站,08,乙苯,0.25,ppb
大城站,08,"間,對二甲苯",1.63,ppb
大城站,08,苯乙烯,0,ppb
大城站,08,鄰二甲苯,0.61,ppb
大城站,08,正壬烷,0,ppb
大城站,08,異丙基苯,0.75,ppb
大城站,08,正丙基苯,0,ppb
大城站,08,間-乙基甲苯,0.75,ppb
大城站,08,對-乙基甲苯,0,ppb
大城站,08,"1,3,5-三甲基苯",0.31,ppb
大城站,08,鄰-乙基甲苯,0.59,ppb
大城站,08,"1,2,4-三甲基苯",2.46,ppb
大城站,08,葵烷,0,ppb
大城站,08,"1,2,3-三甲基苯",0.51,ppb
大城站,08,間-二乙基苯,0,ppb
大城站,08,對-二乙基苯,0,ppbv
大城站,08,正十一烷,0.16,ppbv
東石站,08,乙烷,1.69,ppb
東石站,08,乙烯,3.29,ppb
東石站,08,丙烷,3,ppb
東石站,08,丙烯,2.51,ppb
東石站,08,異丁烷,1.83,ppb
東石站,08,正丁烷,3.63,ppb
東石站,08,乙炔,7.39,ppb
東石站,08,反2-丁烯,0.28,ppb
東石站,08,1-丁烯,0.91,ppb
東石站,08,順2-丁烯,0.18,ppb
東石站,08,環戊烷,0,ppb
東石站,08,異戊烷,3.09,ppb
